Cluster;Individual Assignments;Group Projects;Quizzes;Midterm Exam;Final Exam/Presentation/Portfolio;Class Participation
Applied Sciences & Vocational Fields;4.0;4.07;2.47;2.6;3.53;3.53
Business & Economics;4.0;4.06;3.06;2.35;3.47;2.82
Computer Science & Data;4.0;3.78;2.39;2.28;3.56;3.78
Design & Creative Arts;4.0;3.5;2.0;2.12;3.5;3.75
Engineering & Technology;4.0;4.08;2.42;2.5;3.6;3.2
Medical & Health Sciences;3.75;4.17;3.33;2.17;3.75;3.92
Natural Sciences;4.0;4.13;2.83;2.52;3.74;3.57
Social Sciences & Humanities;4.0;4.14;2.5;1.86;3.43;3.71
